TIME_PERIOD;GEO;AGE;SEX;OBS_STATUS;OBS_VALUE
2022-W01;CH022;Y80T84;F;P;4
2022-W01;CH022;Y80T84;M;P;3
2022-W01;CH022;Y85T89;T;P;8
2022-W01;CH022;Y85T89;F;P;3
2022-W01;CH022;Y85T89;M;P;5
2022-W01;CH022;Y_GE90;T;P;12
2022-W01;CH022;Y_GE90;F;P;8
2022-W01;CH022;Y_GE90;M;P;4
2022-W01;CH023;_T;T;P;43
2022-W01;CH023;_T;F;P;14
2022-W01;CH023;_T;M;P;29
2022-W01;CH023;Y30T34;T;P;1
2022-W01;CH023;Y30T34;M;P;1
2022-W01;CH023;Y40T44;T;P;1
2022-W01;CH023;Y40T44;M;P;1
2022-W01;CH023;Y55T59;T;P;1
2022-W01;CH023;Y55T59;M;P;1
2022-W01;CH023;Y65T69;T;P;4
2022-W01;CH023;Y65T69;F;P;1
2022-W01;CH023;Y65T69;M;P;3
2022-W01;CH023;Y70T74;T;P;4
2022-W01;CH023;Y70T74;M;P;4
2022-W01;CH023;Y75T79;T;P;8
2022-W01;CH023;Y75T79;F;P;3
2022-W01;CH023;Y75T79;M;P;5
2022-W01;CH023;Y80T84;T;P;5
2022-W01;CH023;Y80T84;M;P;5
2022-W01;CH023;Y85T89;T;P;6
2022-W01;CH023;Y85T89;F;P;3
2022-W01;CH023;Y85T89;M;P;3
2022-W01;CH023;Y_GE90;T;P;13
2022-W01;CH023;Y_GE90;F;P;7
2022-W01;CH023;Y_GE90;M;P;6
2022-W01;CH024;_T;T;P;30
2022-W01;CH024;_T;F;P;12
2022-W01;CH024;_T;M;P;18
2022-W01;CH024;Y25T29;T;P;1
2022-W01;CH024;Y25T29;M;P;1
2022-W01;CH024;Y50T54;T;P;1
2022-W01;CH024;Y50T54;M;P;1
2022-W01;CH024;Y60T64;T;P;3
2022-W01;CH024;Y60T64;M;P;3
2022-W01;CH024;Y65T69;T;P;1
2022-W01;CH024;Y65T69;M;P;1
2022-W01;CH024;Y70T74;T;P;1
2022-W01;CH024;Y70T74;M;P;1
2022-W01;CH024;Y75T79;T;P;5
2022-W01;CH024;Y75T79;M;P;5
2022-W01;CH024;Y80T84;T;P;3
2022-W01;CH024;Y80T84;F;P;2
2022-W01;CH024;Y80T84;M;P;1
2022-W01;CH024;Y85T89;T;P;3
2022-W01;CH024;Y85T89;F;P;1
2022-W01;CH024;Y85T89;M;P;2
2022-W01;CH024;Y_GE90;T;P;12
2022-W01;CH024;Y_GE90;F;P;9
2022-W01;CH024;Y_GE90;M;P;3
2022-W01;CH025;_T;T;P;21
2022-W01;CH025;_T;F;P;8
2022-W01;CH025;_T;M;P;13
2022-W01;CH025;Y50T54;T;P;1
2022-W01;CH025;Y50T54;M;P;1
2022-W01;CH025;Y60T64;T;P;2
2022-W01;CH025;Y60T64;F;P;2
2022-W01;CH025;Y65T69;T;P;1
2022-W01;CH025;Y65T69;M;P;1
2022-W01;CH025;Y70T74;T;P;1
2022-W01;CH025;Y70T74;M;P;1
2022-W01;CH025;Y75T79;T;P;3
2022-W01;CH025;Y75T79;F;P;2
2022-W01;CH025;Y75T79;M;P;1
2022-W01;CH025;Y80T84;T;P;3
2022-W01;CH025;Y80T84;F;P;2
2022-W01;CH025;Y80T84;M;P;1
2022-W01;CH025;Y85T89;T;P;4
2022-W01;CH025;Y85T89;F;P;1
2022-W01;CH025;Y85T89;M;P;3
2022-W01;CH025;Y_GE90;T;P;6
2022-W01;CH025;Y_GE90;F;P;1
2022-W01;CH025;Y_GE90;M;P;5
2022-W01;CH031;_T;T;P;38
2022-W01;CH031;_T;F;P;18
2022-W01;CH031;_T;M;P;20
2022-W01;CH031;Y30T34;T;P;1
2022-W01;CH031;Y30T34;M;P;1
2022-W01;CH031;Y40T44;T;P;1
2022-W01;CH031;Y40T44;M;P;1
2022-W01;CH031;Y45T49;T;P;1
2022-W01;CH031;Y45T49;M;P;1
2022-W01;CH031;Y55T59;T;P;1
2022-W01;CH031;Y55T59;M;P;1
2022-W01;CH031;Y70T74;T;P;1
2022-W01;CH031;Y70T74;M;P;1
2022-W01;CH031;Y75T79;T;P;6
2022-W01;CH031;Y75T79;F;P;3
2022-W01;CH031;Y75T79;M;P;3
2022-W01;CH031;Y80T84;T;P;2
2022-W01;CH031;Y80T84;M;P;2
2022-W01;CH031;Y85T89;T;P;3
2022-W01;CH031;Y85T89;F;P;3
2022-W01;CH031;Y_GE90;T;P;22
2022-W01;CH031;Y_GE90;F;P;12
2022-W01;CH031;Y_GE90;M;P;10
2022-W01;CH032;_T;T;P;66
2022-W01;CH032;_T;F;P;39
2022-W01;CH032;_T;M;P;27
2022-W01;CH032;Y45T49;T;P;3
2022-W01;CH032;Y45T49;F;P;1
2022-W01;CH032;Y45T49;M;P;2
2022-W01;CH032;Y50T54;T;P;1
2022-W01;CH032;Y50T54;F;P;1
2022-W01;CH032;Y55T59;T;P;2
2022-W01;CH032;Y55T59;F;P;1
2022-W01;CH032;Y55T59;M;P;1
2022-W01;CH032;Y70T74;T;P;3
2022-W01;CH032;Y70T74;F;P;2
2022-W01;CH032;Y70T74;M;P;1
2022-W01;CH032;Y75T79;T;P;2
2022-W01;CH032;Y75T79;F;P;2
2022-W01;CH032;Y80T84;T;P;9
2022-W01;CH032;Y80T84;F;P;6
2022-W01;CH032;Y80T84;M;P;3
2022-W01;CH032;Y85T89;T;P;15
2022-W01;CH032;Y85T89;F;P;6
2022-W01;CH032;Y85T89;M;P;9
2022-W01;CH032;Y_GE90;T;P;31
2022-W01;CH032;Y_GE90;F;P;20
2022-W01;CH032;Y_GE90;M;P;11
2022-W01;CH033;_T;T;P;101
2022-W01;CH033;_T;F;P;49
2022-W01;CH033;_T;M;P;52
2022-W01;CH033;Y0T4;T;P;1
2022-W01;CH033;Y0T4;F;P;1
2022-W01;CH033;Y25T29;T;P;1
2022-W01;CH033;Y25T29;M;P;1
2022-W01;CH033;Y30T34;T;P;1
2022-W01;CH033;Y30T34;M;P;1
2022-W01;CH033;Y40T44;T;P;1
2022-W01;CH033;Y40T44;M;P;1
2022-W01;CH033;Y45T49;T;P;1
2022-W01;CH033;Y45T49;F;P;1
2022-W01;CH033;Y55T59;T;P;2
2022-W01;CH033;Y55T59;M;P;2
2022-W01;CH033;Y60T64;T;P;2
2022-W01;CH033;Y60T64;F;P;2
2022-W01;CH033;Y65T69;T;P;6
2022-W01;CH033;Y65T69;F;P;3
2022-W01;CH033;Y65T69;M;P;3
2022-W01;CH033;Y70T74;T;P;8
2022-W01;CH033;Y70T74;F;P;3
2022-W01;CH033;Y70T74;M;P;5
2022-W01;CH033;Y75T79;T;P;13
2022-W01;CH033;Y75T79;F;P;4
2022-W01;CH033;Y75T79;M;P;9
2022-W01;CH033;Y80T84;T;P;18
2022-W01;CH033;Y80T84;F;P;5
2022-W01;CH033;Y80T84;M;P;13
2022-W01;CH033;Y85T89;T;P;19
2022-W01;CH033;Y85T89;F;P;11
2022-W01;CH033;Y85T89;M;P;8
2022-W01;CH033;Y_GE90;T;P;28
2022-W01;CH033;Y_GE90;F;P;19
2022-W01;CH033;Y_GE90;M;P;9
2022-W01;CH040;_T;T;P;219
2022-W01;CH040;_T;F;P;121
2022-W01;CH040;_T;M;P;98
2022-W01;CH040;Y0T4;T;P;1
2022-W01;CH040;Y0T4;F;P;1
2022-W01;CH040;Y30T34;T;P;1
2022-W01;CH040;Y30T34;F;P;1
2022-W01;CH040;Y35T39;T;P;1
2022-W01;CH040;Y35T39;M;P;1
2022-W01;CH040;Y45T49;T;P;2
2022-W01;CH040;Y45T49;F;P;2
2022-W01;CH040;Y50T54;T;P;5
2022-W01;CH040;Y50T54;M;P;5
2022-W01;CH040;Y55T59;T;P;8
2022-W01;CH040;Y55T59;F;P;3
2022-W01;CH040;Y55T59;M;P;5
2022-W01;CH040;Y60T64;T;P;7
2022-W01;CH040;Y60T64;F;P;4
2022-W01;CH040;Y60T64;M;P;3
2022-W01;CH040;Y65T69;T;P;10
2022-W01;CH040;Y65T69;F;P;6
2022-W01;CH040;Y65T69;M;P;4
2022-W01;CH040;Y70T74;T;P;19
2022-W01;CH040;Y70T74;F;P;9
2022-W01;CH040;Y70T74;M;P;10
2022-W01;CH040;Y75T79;T;P;29
2022-W01;CH040;Y75T79;F;P;13
2022-W01;CH040;Y75T79;M;P;16
2022-W01;CH040;Y80T84;T;P;29
2022-W01;CH040;Y80T84;F;P;17
2022-W01;CH040;Y80T84;M;P;12
2022-W01;CH040;Y85T89;T;P;46
2022-W01;CH040;Y85T89;F;P;29
2022-W01;CH040;Y85T89;M;P;17
2022-W01;CH040;Y_GE90;T;P;61
2022-W01;CH040;Y_GE90;F;P;36
2022-W01;CH040;Y_GE90;M;P;25
2022-W01;CH051;_T;T;P;4
2022-W01;CH051;_T;F;P;2
2022-W01;CH051;_T;M;P;2
2022-W01;CH051;Y80T84;T;P;1
2022-W01;CH051;Y80T84;M;P;1
2022-W01;CH051;Y85T89;T;P;2
2022-W01;CH051;Y85T89;F;P;2
2022-W01;CH051;Y_GE90;T;P;1
2022-W01;CH051;Y_GE90;M;P;1
2022-W01;CH052;_T;T;P;19
2022-W01;CH052;_T;F;P;6
2022-W01;CH052;_T;M;P;13
2022-W01;CH052;Y65T69;T;P;2
2022-W01;CH052;Y65T69;M;P;2
2022-W01;CH052;Y70T74;T;P;2
2022-W01;CH052;Y70T74;M;P;2
2022-W01;CH052;Y75T79;T;P;4
2022-W01;CH052;Y75T79;F;P;3
2022-W01;CH052;Y75T79;M;P;1
2022-W01;CH052;Y80T84;T;P;1
2022-W01;CH052;Y80T84;M;P;1
2022-W01;CH052;Y85T89;T;P;6
2022-W01;CH052;Y85T89;F;P;2
2022-W01;CH052;Y85T89;M;P;4
2022-W01;CH052;Y_GE90;T;P;4
2022-W01;CH052;Y_GE90;F;P;1
2022-W01;CH052;Y_GE90;M;P;3
2022-W01;CH053;_T;T;P;10
2022-W01;CH053;_T;F;P;4
2022-W01;CH053;_T;M;P;6
2022-W01;CH053;Y60T64;T;P;4
2022-W01;CH053;Y60T64;F;P;1
2022-W01;CH053;Y60T64;M;P;3
2022-W01;CH053;Y70T74;T;P;1
2022-W01;CH053;Y70T74;M;P;1
2022-W01;CH053;Y80T84;T;P;1
2022-W01;CH053;Y80T84;M;P;1
2022-W01;CH053;Y85T89;T;P;2
2022-W01;CH053;Y85T89;F;P;2
2022-W01;CH053;Y_GE90;T;P;2
2022-W01;CH053;Y_GE90;F;P;1
2022-W01;CH053;Y_GE90;M;P;1
2022-W01;CH054;_T;T;P;2
2022-W01;CH054;_T;F;P;2
2022-W01;CH054;Y75T79;T;P;1
2022-W01;CH054;Y75T79;F;P;1
2022-W01;CH054;Y85T89;T;P;1
2022-W01;CH054;Y85T89;F;P;1
2022-W01;CH055;_T;T;P;92
2022-W01;CH055;_T;F;P;45
2022-W01;CH055;_T;M;P;47
2022-W01;CH055;Y0T4;T;P;1
2022-W01;CH055;Y0T4;M;P;1
2022-W01;CH055;Y40T44;T;P;3
2022-W01;CH055;Y40T44;F;P;2
2022-W01;CH055;Y40T44;M;P;1
2022-W01;CH055;Y50T54;T;P;2
2022-W01;CH055;Y50T54;F;P;1
2022-W01;CH055;Y50T54;M;P;1
2022-W01;CH055;Y55T59;T;P;1
2022-W01;CH055;Y55T59;F;P;1
2022-W01;CH055;Y60T64;T;P;4
2022-W01;CH055;Y60T64;F;P;2
2022-W01;CH055;Y60T64;M;P;2
2022-W01;CH055;Y65T69;T;P;6
2022-W01;CH055;Y65T69;F;P;4
2022-W01;CH055;Y65T69;M;P;2
2022-W01;CH055;Y70T74;T;P;7
2022-W01;CH055;Y70T74;F;P;2
2022-W01;CH055;Y70T74;M;P;5
2022-W01;CH055;Y75T79;T;P;11
2022-W01;CH055;Y75T79;F;P;5
2022-W01;CH055;Y75T79;M;P;6
2022-W01;CH055;Y80T84;T;P;20
2022-W01;CH055;Y80T84;F;P;9
2022-W01;CH055;Y80T84;M;P;11
2022-W01;CH055;Y85T89;T;P;22
2022-W01;CH055;Y85T89;F;P;10
2022-W01;CH055;Y85T89;M;P;12
2022-W01;CH055;Y_GE90;T;P;15
2022-W01;CH055;Y_GE90;F;P;9
2022-W01;CH055;Y_GE90;M;P;6
2022-W01;CH056;_T;T;P;46
2022-W01;CH056;_T;F;P;21
2022-W01;CH056;_T;M;P;25
2022-W01;CH056;Y55T59;T;P;2
2022-W01;CH056;Y55T59;M;P;2
2022-W01;CH056;Y60T64;T;P;1
2022-W01;CH056;Y60T64;F;P;1
2022-W01;CH056;Y65T69;T;P;6
2022-W01;CH056;Y65T69;F;P;5
2022-W01;CH056;Y65T69;M;P;1
2022-W01;CH056;Y70T74;T;P;2
2022-W01;CH056;Y70T74;F;P;1
2022-W01;CH056;Y70T74;M;P;1
2022-W01;CH056;Y75T79;T;P;8
2022-W01;CH056;Y75T79;F;P;3
2022-W01;CH056;Y75T79;M;P;5
2022-W01;CH056;Y80T84;T;P;10
2022-W01;CH056;Y80T84;F;P;1
2022-W01;CH056;Y80T84;M;P;9
2022-W01;CH056;Y85T89;T;P;9
2022-W01;CH056;Y85T89;F;P;4
2022-W01;CH056;Y85T89;M;P;5
2022-W01;CH056;Y_GE90;T;P;8
2022-W01;CH056;Y_GE90;F;P;6
2022-W01;CH056;Y_GE90;M;P;2
2022-W01;CH057;_T;T;P;53
2022-W01;CH057;_T;F;P;24
2022-W01;CH057;_T;M;P;29
2022-W01;CH057;Y25T29;T;P;1
2022-W01;CH057;Y25T29;M;P;1
2022-W01;CH057;Y35T39;T;P;1
2022-W01;CH057;Y35T39;M;P;1
2022-W01;CH057;Y55T59;T;P;2
2022-W01;CH057;Y55T59;F;P;1
2022-W01;CH057;Y55T59;M;P;1
2022-W01;CH057;Y60T64;T;P;4
2022-W01;CH057;Y60T64;F;P;3
2022-W01;CH057;Y60T64;M;P;1
2022-W01;CH057;Y65T69;T;P;3
2022-W01;CH057;Y65T69;M;P;3
2022-W01;CH057;Y70T74;T;P;10
2022-W01;CH057;Y70T74;F;P;5
2022-W01;CH057;Y70T74;M;P;5
2022-W01;CH057;Y75T79;T;P;8
2022-W01;CH057;Y75T79;F;P;2
2022-W01;CH057;Y75T79;M;P;6
2022-W01;CH057;Y80T84;T;P;6
2022-W01;CH057;Y80T84;F;P;2
2022-W01;CH057;Y80T84;M;P;4
2022-W01;CH057;Y85T89;T;P;7
2022-W01;CH057;Y85T89;F;P;3
2022-W01;CH057;Y85T89;M;P;4
2022-W01;CH057;Y_GE90;T;P;11
2022-W01;CH057;Y_GE90;F;P;8
2022-W01;CH057;Y_GE90;M;P;3
2022-W01;CH061;_T;T;P;71
2022-W01;CH061;_T;F;P;38
2022-W01;CH061;_T;M;P;33
2022-W01;CH061;Y50T54;T;P;1
2022-W01;CH061;Y50T54;M;P;1
2022-W01;CH061;Y55T59;T;P;1
2022-W01;CH061;Y55T59;M;P;1
2022-W01;CH061;Y65T69;T;P;9
2022-W01;CH061;Y65T69;F;P;2
2022-W01;CH061;Y65T69;M;P;7
2022-W01;CH061;Y70T74;T;P;10
2022-W01;CH061;Y70T74;F;P;3
2022-W01;CH061;Y70T74;M;P;7
2022-W01;CH061;Y75T79;T;P;7
2022-W01;CH061;Y75T79;F;P;2
2022-W01;CH061;Y75T79;M;P;5
2022-W01;CH061;Y80T84;T;P;7
2022-W01;CH061;Y80T84;F;P;5
2022-W01;CH061;Y80T84;M;P;2
2022-W01;CH061;Y85T89;T;P;13
2022-W01;CH061;Y85T89;F;P;9
2022-W01;CH061;Y85T89;M;P;4
2022-W01;CH061;Y_GE90;T;P;23
2022-W01;CH061;Y_GE90;F;P;17
2022-W01;CH061;Y_GE90;M;P;6
2022-W01;CH062;_T;T;P;7
2022-W01;CH062;_T;F;P;6
2022-W01;CH062;_T;M;P;1
2022-W01;CH062;Y50T54;T;P;1
2022-W01;CH062;Y50T54;F;P;1
2022-W01;CH062;Y70T74;T;P;1
2022-W01;CH062;Y70T74;F;P;1
2022-W01;CH062;Y75T79;T;P;1
2022-W01;CH062;Y75T79;F;P;1
2022-W01;CH062;Y80T84;T;P;1
2022-W01;CH062;Y80T84;M;P;1
2022-W01;CH062;Y85T89;T;P;1
2022-W01;CH062;Y85T89;F;P;1
2022-W01;CH062;Y_GE90;T;P;2
2022-W01;CH062;Y_GE90;F;P;2
2022-W01;CH063;_T;T;P;44
2022-W01;CH063;_T;F;P;20
2022-W01;CH063;_T;M;P;24
2022-W01;CH063;Y5T9;T;P;1
2022-W01;CH063;Y5T9;M;P;1
2022-W01;CH063;Y55T59;T;P;1
2022-W01;CH063;Y55T59;M;P;1
2022-W01;CH063;Y60T64;T;P;2
2022-W01;CH063;Y60T64;M;P;2
2022-W01;CH063;Y65T69;T;P;2
2022-W01;CH063;Y65T69;F;P;2
2022-W01;CH063;Y70T74;T;P;7
2022-W01;CH063;Y70T74;F;P;3
2022-W01;CH063;Y70T74;M;P;4
2022-W01;CH063;Y75T79;T;P;5
2022-W01;CH063;Y75T79;F;P;2
2022-W01;CH063;Y75T79;M;P;3
2022-W01;CH063;Y80T84;T;P;6
2022-W01;CH063;Y80T84;F;P;2
2022-W01;CH063;Y80T84;M;P;4
2022-W01;CH063;Y85T89;T;P;11
2022-W01;CH063;Y85T89;F;P;4
2022-W01;CH063;Y85T89;M;P;7
2022-W01;CH063;Y_GE90;T;P;9
2022-W01;CH063;Y_GE90;F;P;7
2022-W01;CH063;Y_GE90;M;P;2
2022-W01;CH064;_T;T;P;7
2022-W01;CH064;_T;F;P;2
2022-W01;CH064;_T;M;P;5
2022-W01;CH064;Y60T64;T;P;1
2022-W01;CH064;Y60T64;M;P;1
2022-W01;CH064;Y65T69;T;P;1
2022-W01;CH064;Y65T69;M;P;1
2022-W01;CH064;Y70T74;T;P;1
2022-W01;CH064;Y70T74;M;P;1
2022-W01;CH064;Y75T79;T;P;1
2022-W01;CH064;Y75T79;M;P;1
2022-W01;CH064;Y80T84;T;P;1
2022-W01;CH064;Y80T84;M;P;1
2022-W01;CH064;Y_GE90;T;P;2
2022-W01;CH064;Y_GE90;F;P;2
2022-W01;CH065;_T;T;P;13
2022-W01;CH065;_T;F;P;7
2022-W01;CH065;_T;M;P;6
2022-W01;CH065;Y45T49;T;P;1
2022-W01;CH065;Y45T49;F;P;1
2022-W01;CH065;Y55T59;T;P;1
2022-W01;CH065;Y55T59;F;P;1
2022-W01;CH065;Y65T69;T;P;1
2022-W01;CH065;Y65T69;F;P;1
2022-W01;CH065;Y70T74;T;P;1
2022-W01;CH065;Y70T74;M;P;1
2022-W01;CH065;Y75T79;T;P;2
